trade_date,call_ask_open,put_ask_open,call_bid_close,put_bid_close,premium_paid,total_value,pnl_straddle
2025-04-08,8.0,4.2,4.15,7.6,12.2,11.75,-0.45
2025-04-09,0.0,0.0,15.15,0.91,0.0,16.06,16.06
2025-04-10,12.95,1.75,10.0,2.27,14.7,12.27,-2.43
2025-04-11,11.7,2.08,11.7,0.98,13.78,12.68,-1.1
2025-04-14,15.0,0.45,11.2,0.49,15.45,11.69,-3.76
2025-04-15,11.65,0.4,12.3,0.08,12.05,12.38,0.33
2025-04-16,5.5,0.88,4.95,0.41,6.38,5.36,-1.02
2025-04-17,5.0,0.21,1.49,0.0,5.21,1.49,-3.72
